7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
aardvark-dns 1.16.0-1
abseil-cpp 20250814.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.8-2
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
aom 3.13.1-1
appstream 1.1.0-1
appstream-glib 0.8.3-2
aquamarine 0.9.4-2
arch-install-scripts 29-1
archlinux-keyring 20250807.1-1
argon2 20190702-6
aria2 1.37.0-2
aspnet-runtime 9.0.9.sdk110-1
asusctl 6.1.12-0.1
asusctl-debug 6.1.12-0.1
at-spi2-core 2.58.0-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
baobab 49.0-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bat 0.25.0-4
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.84-1
bluez-libs 5.84-1
bluez-obex 5.84-1
bluez-utils 5.84-1
bolt 0.9.10-1
boost-libs 1.88.0-3
breeze-icons 6.18.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brltty 6.8-1
brotli 1.1.0-3
browsh 1.8.3-1
btop 1.4.5-1
btrfs-assistant-debug 2.2-1
btrfs-progs 6.16.1-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.116-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
capstone 5.0.6-1
catatonit 0.2.1-2
ccache 4.12-1
cdparanoia 10.2-9
chromedriver 140.0.7339.185-1
chromedriver-debug 140.0.7339.185-1
cifs-utils 7.4-1
clang 20.1.8-1
clucene 2.3.3.4-16
cmake 4.1.1-1
cmark 0.31.1-1
code 1.104.1-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
compiler-rt 20.1.8-1
composefs 1.0.8-1
conmon 1:2.1.13-1
containerd 2.1.4-1
containers-common 1:0.64.1-1
coreutils 9.8-1
countryfetch 0.2.0-1
cpio 2.15-3
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.8.1-1
cuda 13.0.1-1
cups-pk-helper 0.2.7-2
curl 8.16.0-1
curseforge 1.285.2.27841-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
debuginfod 0.193-5
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.35-1
dialog 1:1.3_20250116-1
diffutils 3.12-2
distrobox 1.8.1.2-1
djvulibre 3.5.29-1
dkms 3.2.2-1
dnsmasq 2.91-1
docker 1:28.4.0-1
docker-desktop-debug 4.44.0-1
docopt 0.6.3-5
dotnet-host 9.0.9.sdk110-1
dotnet-runtime 9.0.9.sdk110-1
dotnet-sdk 9.0.9.sdk110-1
dotnet-targeting-pack 9.0.9.sdk110-1
double-conversion 3.3.1-1
downgrade 11.5.4-1
doxygen 1.14.0-1
dtc 1.7.2-4
duktape 2.7.0-7
dunst 1.13.0-1
e2fsprogs 1.47.3-1
edk2-aarch64 202508-1
edk2-arm 202508-1
edk2-ovmf 202508-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.20-1
egl-x11 1.0.3-1
eglexternalplatform 1.2.1-1
electron31 31.7.7-4
electron37 37.5.1-1
elixir 1.18.4-1
enchant 2.8.12-1
envycontrol 3.5.2-1
erlang-core 28.0.4-1
evince 1:48.1-1
