7zip 25.01-1
accountsservice 23.13.9-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
arch-install-scripts 29-1
aspnet-runtime 9.0.9.sdk110-1
asusctl 6.1.12-0.1
baobab 49.0-1
base 3-2
base-devel 1-2
bat 0.25.0-4
blueman 2.4.6-1
bluez 5.84-1
bluez-obex 5.84-1
bluez-utils 5.84-1
bolt 0.9.10-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
browsh 1.8.3-1
btop 1.4.5-1
btrfs-progs 6.16.1-1
chromedriver 140.0.7339.185-1
cifs-utils 7.4-1
cmake 4.1.1-1
code 1.104.1-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
countryfetch 0.2.0-1
cups-pk-helper 0.2.7-2
curseforge 1.285.2.27841-1
dialog 1:1.3_20250116-1
distrobox 1.8.1.2-1
dnsmasq 2.91-1
docker 1:28.4.0-1
dotnet-runtime 9.0.9.sdk110-1
dotnet-sdk 9.0.9.sdk110-1
downgrade 11.5.4-1
doxygen 1.14.0-1
dunst 1.13.0-1
edk2-ovmf 202508-1
efibootmgr 18-3
elixir 1.18.4-1
envycontrol 3.5.2-1
evince 1:48.1-1
expect 5.45.4-5
fastfetch 2.53.0-1
fd 10.3.0-1
ffmpegthumbnailer 2.2.3-3
firefox 143.0.1-1
flatpak 1:1.16.1-1
flutter-bin 3.35.4-1
fortran-fpm-bin 0.12.0-1
fzf 0.65.2-1
gcc-fortran 15.2.1+r22+gc4e96a094636-1
gcr 3.41.2-2
gdm 49.0.1-1
gedit 48.2-1
geoclue 2.8.0-1
geocode-glib 3.26.4-4
geocode-glib-common 3.26.4-4
git 2.51.0-1
git-delta 0.18.2-4
github-desktop-bin 3.4.13_linux1-1
gitkraken 11.4.0-1
glances 4.3.3-1
gnome-autoar 0.4.5-1
gnome-backgrounds 49.0-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-browser-connector 42.1-7
gnome-color-manager 3.36.2-1
gnome-control-center 49.0-1
gnome-disk-utility 46.1-2
gnome-keybindings 49.0-1
gnome-menus 3.36.0-3
gnome-settings-daemon 49.0-1
gnome-shell 1:49.0-2
gnome-shell-extensions 49.0-1
